"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"i’ve been trying to eat clean during exam week, but i’m curious to try that impossible burger from burger king",FALSE,0,NA,2019-10-10 17:46:40,FALSE,NA,"1182351758292594689",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","_Johnny__Blaze_",0,FALSE,FALSE,NA,NA
"@pxlplz I haven’t tried the impossible whopper yet, but the regular impossible burger was fine. Similar to beef at… https://t.co/uRD9dp7Ro8",FALSE,0,"pxlplz",2019-10-10 17:44:54,TRUE,"1182347914418573312","1182351313922740224","278378678","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>","AfterPad",0,FALSE,FALSE,NA,NA
"@JoannosaurusRex also didn’t know how to make this into tweet but owner sat down with me and picked my brain over B… https://t.co/TL6U2DR1WB",FALSE,0,"JoannosaurusRex",2019-10-10 17:44:47,TRUE,"1182350518183706626","1182351284856209408","30076159","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","hotdogfev",0,FALSE,FALSE,NA,NA
"i don’t eat meat but you’ll never catch me getting that impossible burger from burger king. hell no",FALSE,0,NA,2019-10-10 17:43:49,FALSE,NA,"1182351038948499461",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","KreeKonnectz",0,FALSE,FALSE,NA,NA
"RT @fleroy1974: ""[classifying food based on its degree of processing] makes no sense from a nutritional perspective” - Yes it does.

""Yogur…",FALSE,0,NA,2019-10-10 17:42:57,FALSE,NA,"1182350823394861057",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","KetoBodyUK",29,TRUE,FALSE,NA,NA
"Meatless meat is becoming mainstream — and it’s sparking a backlash https://t.co/HWsPI7zjR4? Why would you call som… https://t.co/UdeYSK9KsC",FALSE,0,NA,2019-10-10 17:37:47,TRUE,NA,"1182349522661498880",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","TehirahBwalatum",0,FALSE,FALSE,NA,NA
"Unpopular Opinion:
Peace Burger &gt; Wonder Burger &gt; Beyond Meat Burger &gt; Impossible Burger &gt; Next Level Burger &gt; Juicy Burger",FALSE,0,NA,2019-10-10 17:36:56,FALSE,NA,"1182349305782427648",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mondgekuesst",0,FALSE,FALSE,NA,NA
"RT @fleroy1974: ""[classifying food based on its degree of processing] makes no sense from a nutritional perspective” - Yes it does.

""Yogur…",FALSE,0,NA,2019-10-10 17:36:31,FALSE,NA,"1182349202954866688",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","stefcarriere",29,TRUE,FALSE,NA,NA
"Meatless meat is becoming mainstream — and it’s sparking a backlash https://t.co/I3Lp5RUWsA via @voxdotcom",FALSE,0,NA,2019-10-10 17:36:07,FALSE,NA,"1182349100500606977",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","TehirahBwalatum",0,FALSE,FALSE,NA,NA
"Ok, I tried an impossible burger at Burger King. This was the big chain first food restaurant I’ve been to in years… https://t.co/PQP8PYoEGc",FALSE,0,NA,2019-10-10 17:35:15,TRUE,NA,"1182348885588529152",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MiloLePrince",0,FALSE,FALSE,NA,NA
